EstacaoCodigo;NivelConsistencia;Data;Hora;NumMedicao;Cota;Vazao;AreaMolhada;Largura;VelMedia;Profundidade;datains;dataalt;respalt;tecnico;medidorvazao,,,,,
82140700;1;10/07/2019;01/01/1900 10:02:00;;49;0,937;9,37;17,78;0,100;0,53;;;;;0;
82140700;1;26/04/2019;01/01/1900 08:28:00;;54;1,86;11,32;18,52;0,164;0,61;;;;;0;
82140700;1;28/11/2018;01/01/1900 10:34:00;;55;1,682;11,42;19,66;0,147;0,58;;;;;;
82140700;1;27/09/2018;01/01/1900 13:42:00;;46;0,715;9,25;18,20;0,077;0,51;;;;;;
82140700;1;22/02/2018;01/01/1900 17:07:00;;54;1,661;10,73;18,42;0,155;0,58;;;;;;
82140700;1;15/08/2017;01/01/1900 14:00:00;;48;0,781;11,39;20,00;0,069;0,57;;;;;0;
82140700;1;06/04/2017;01/01/1900 11:15:00;;58;1,945;12,71;20,00;0,153;0,64;;;;;0;
82140700;1;30/11/2016;01/01/1900 13:09:00;;58;2,885;13,85;16,66;0,208;0,83;;;;;;
82140700;1;25/09/2016;01/01/1900 09:07:00;;65;3,989;9,68;19,41;0,412;0,50;;;;;;
82140700;1;07/08/2016;01/01/1900 10:30:00;;47;1,01;6,56;19,60;0,154;0,33;;;;;;
82140700;1;02/07/2016;01/01/1900 09:40:00;;48;0,922;8,99;18,55;0,103;0,48;;;;;;
82140700;1;08/12/2015;01/01/1900 16:05:00;;68;5,267;11,75;19,60;0,448;0,60;;;;;;
82140700;1;30/04/2014;01/01/1900 16:05:00;;26;2,117;9,42;20,00;0,225;0,47;;;;;;
82140700;1;15/08/2013;01/01/1900 14:45:00;;40;1,312;6,38;19,00;0,206;0,34;;;;;;
82140700;1;23/04/2013;01/01/1900 14:15:00;;40;1,316;6,93;19,00;0,190;0,36;;;;;;
82140700;1;18/11/2012;01/01/1900 15:40:00;;45;2,161;7,75;19,50;0,279;0,40;;;;;;
82140700;1;26/09/2012;01/01/1900 11:15:00;;56;2,968;10,17;20,00;0,292;0,51;;;;;;
82140700;1;27/07/2012;01/01/1900 11:10:00;;33;2,092;7,82;19,75;0,268;0,40;;;;;;
82140700;1;23/05/2012;01/01/1900 15:30:00;;30;1,922;7,42;19,50;0,259;0,38;;;;;;
82140700;1;16/09/2011;01/01/1900 13:50:00;;70;7,325;12,6;20,00;0,581;0,63;;;;;;
82140700;1;20/07/2011;01/01/1900 16:35:00;;36;1,106;5,93;18,00;0,187;0,33;;;;;;
82140700;1;28/03/2011;01/01/1900 14:15:00;;54;3,496;8,84;19,40;0,395;0,46;;;;;;
82140700;1;25/10/2010;01/01/1900 07:15:00;;64;1,692;10,44;19,50;0,162;0,54;;;;;;
82140700;1;25/08/2010;01/01/1900 16:00:00;;58;1,084;9,8;19,00;0,111;0,52;;;;;;
82140700;1;30/06/2010;01/01/1900 09:10:00;;60;1,453;10,55;19,30;0,138;0,55;;;;;;
82140700;1;22/04/2010;01/01/1900 09:40:00;;60;1,448;10,36;19,30;0,140;0,54;;;;;;
82140700;1;07/10/2009;01/01/1900 11:10:00;;72;3,095;7,26;15,70;0,426;0,46;;;;;;
82140700;1;03/08/2009;01/01/1900 16:10:00;;68;2,361;6,73;15,73;0,351;0,43;;;;;;
82140700;1;27/05/2009;01/01/1900 15:30:00;;57;0,978;5,14;15,40;0,190;0,33;;;;;;
82140700;1;29/04/2009;01/01/1900 09:30:00;;60;1,39;5,68;15,40;0,245;0,37;;;;;;
82140700;1;12/12/2008;01/01/1900 08:30:00;;71;2,544;11,55;19,70;0,220;0,59;;;;;;
82140700;1;23/07/2008;01/01/1900 14:20:00;;53;0,745;6,1;15,20;0,122;0,40;;;;;;
82140700;1;21/05/2008;01/01/1900 09:20:00;;55;1,078;6,65;15,20;0,162;0,44;;;;;;
82140700;1;09/04/2008;01/01/1900 13:35:00;;62;1,771;7,52;15,90;0,236;0,47;;;;;;
82140700;1;04/03/2008;01/01/1900 10:20:00;;66;2,466;8,41;16,00;0,293;0,53;;;;;;
82140700;1;19/12/2007;01/01/1900 13:10:00;;62;1,606;7,13;15,50;0,225;0,46;;;;;;
82140700;1;20/11/2007;01/01/1900 15:00:00;;69;2,24;8,54;16,00;0,262;0,53;;;;;;
82140700;1;11/09/2007;01/01/1900 13:30:00;;54;0,61;5,81;14,90;0,105;0,39;;;;;;
82140700;1;30/05/2007;01/01/1900 08:30:00;;60;1,255;7,21;15,20;0,174;0,47;;;;;;
82140700;1;21/03/2007;01/01/1900 08:20:00;;64;1,58;7,49;16,00;0,211;0,47;;;;;;
82140700;1;07/12/2006;01/01/1900 14:20:00;;78;3,918;9,27;16,50;0,423;0,56;;;;;;
82140700;1;30/11/2006;01/01/1900 13:30:00;;160;45,485;33,2;21,00;1,370;1,58;;;;;;
82140700;1;02/09/2006;01/01/1900 13:40:00;;66;1,586;7,38;16,00;0,215;0,46;;;;;;
82140700;1;24/07/2006;01/01/1900 12:50:00;;54;0,459;5,52;13,70;0,083;0,40;;;;;;
